Date : 2026-05-31 09:16:57
Directory : /home/developer/projects/open-navigator
Total : 1886 files,  -6270 codes, -2355 comments, -1547 blanks, all -10172 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        146 |        996 |         86 |          8 |      1,090 |
| MS SQL             |        250 |        822 |        267 |        117 |      1,206 |
| YAML               |         10 |        432 |         13 |         20 |        465 |
| TypeScript         |         77 |        104 |         48 |         21 |        173 |
| pip requirements   |          1 |         27 |        -27 |          0 |          0 |
| JSON with Comments |          5 |         14 |          0 |          0 |         14 |
| JavaScript         |         18 |          3 |          0 |          2 |          5 |
| Shell Script       |         95 |          3 |        -13 |         -7 |        -17 |
| PostCSS            |         14 |          0 |          0 |          0 |          0 |
| HTML               |         10 |          0 |          0 |          0 |          0 |
| XML                |        332 |          0 |          0 |          0 |          0 |
| JavaScript JSX     |         36 |          0 |          0 |          0 |          0 |
| JSON               |         28 |       -341 |          0 |          1 |       -340 |
| Markdown           |        430 |     -1,504 |          0 |       -590 |     -2,094 |
| Python             |        434 |     -6,826 |     -2,729 |     -1,119 |    -10,674 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |      1,886 |     -6,270 |     -2,355 |     -1,547 |    -10,172 |
| . (Files)                                                                                                                                                |          3 |         48 |        -27 |          5 |         26 |
| .claude                                                                                                                                                  |          5 |        199 |          0 |         26 |        225 |
| .claude (Files)                                                                                                                                          |          1 |         14 |          0 |          0 |         14 |
| .claude/agents                                                                                                                                           |          4 |        185 |          0 |         26 |        211 |
| alerts                                                                                                                                                   |          1 |       -344 |       -146 |        -78 |       -568 |
| api                                                                                                                                                      |         16 |      3,133 |        938 |        374 |      4,445 |
| api (Files)                                                                                                                                              |          4 |          9 |         44 |          1 |         54 |
| api/batch_jobs                                                                                                                                           |          4 |      2,730 |        759 |        299 |      3,788 |
| api/routes                                                                                                                                               |          4 |        391 |        135 |         72 |        598 |
| api/static                                                                                                                                               |          4 |          3 |          0 |          2 |          5 |
| api/static/assets                                                                                                                                        |          4 |          3 |          0 |          2 |          5 |
| archive                                                                                                                                                  |         24 |     -6,333 |     -2,451 |       -969 |     -9,753 |
| archive/datasources                                                                                                                                      |         24 |     -6,333 |     -2,451 |       -969 |     -9,753 |
| archive/datasources/cdp                                                                                                                                  |          1 |        -56 |        -21 |        -15 |        -92 |
| archive/datasources/census                                                                                                                               |          1 |        -45 |        -63 |         -8 |       -116 |
| archive/datasources/fec                                                                                                                                  |          2 |       -440 |        -86 |       -115 |       -641 |
| archive/datasources/gemini                                                                                                                               |          9 |     -1,202 |       -290 |       -262 |     -1,754 |
| archive/datasources/gemini/migrations                                                                                                                    |          9 |     -1,202 |       -290 |       -262 |     -1,754 |
| archive/datasources/google_civic                                                                                                                         |          1 |        -20 |         -2 |         -9 |        -31 |
| archive/datasources/grants_gov                                                                                                                           |          1 |       -204 |        -35 |        -52 |       -291 |
| archive/datasources/jurisdictions                                                                                                                        |          1 |        -60 |        -22 |        -17 |        -99 |
| archive/datasources/master_data                                                                                                                          |          1 |     -1,005 |       -182 |       -144 |     -1,331 |
| archive/datasources/nccs                                                                                                                                 |          1 |       -165 |          0 |        -53 |       -218 |
| archive/datasources/nces                                                                                                                                 |          2 |       -267 |       -184 |        -50 |       -501 |
| archive/datasources/ntee                                                                                                                                 |          1 |       -163 |          0 |        -49 |       -212 |
| archive/datasources/wikidata                                                                                                                             |          3 |     -2,706 |     -1,566 |       -195 |     -4,467 |
